<<<<<<< HEAD
127.0.0.1 - - [08/Mar/2024:09:08:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:08:08 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 200 4854
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:08:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:08:09 +0900] "GET /jspProject/ajaxMyWorld/worldList.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:10:55 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 200 4902
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:10:55 +0900] "GET /jspProject/ajaxMyWorld/worldList.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:11:05 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:11:05 +0900] "GET /jspProject/ajaxMyWorld/worldList.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:11:05 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:11:05 +0900] "GET /jspProject/ajaxMyWorld/worldList.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:11:06 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:11:06 +0900] "GET /jspProject/ajaxMyWorld/worldList.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:26 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 200 6055
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:27 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:27 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:27 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:28 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:46 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:46 +0900] "GET /jspProject/ajaxMyWorld/worldList.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [08/Mar/2024:09:13:47 +0900] "GET /jspProject/ajaxMyWorld/myWorld.html HTTP/1.1" 304 -
