127.0.0.1 - - [03/Apr/2024:09:10:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C%EB%A9%94%EC%9D%B81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/menu/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/menu/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/menu/js/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/menu/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C%EB%A9%94%EC%9D%B82.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C6.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C5.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/image/totoro/%ED%86%A0%ED%86%A0%EB%A1%9C4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /Model1MiniProject/menu/images/plus-gray.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:10:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:22 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:22 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:23 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:23 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:24 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:24 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:24 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:24 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:25 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:25 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:25 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:25 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:34 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:34 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:35 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:35 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:35 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:35 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:36 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:36 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:37 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:37 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:38 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:38 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:39 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:39 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:40 +0900] "GET /Model1MiniProject/index.jsp HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:40 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:48 +0900] "GET /Model1MiniProject/index.jsp?main=login/loginForm.jsp HTTP/1.1" 200 7633
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:48 +0900] "GET /Model1MiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:11:50 +0900] "POST /Model1MiniProject/login/loginAction.jsp HTTP/1.1" 302 -
